"id","code","name","user_type_id/id","reconcile","chart_template_id/id","tag_ids/id"
"chart25001","250-01","Rozrachunki z akcjonariuszami i udziałowcami Należna dywidenda","account.data_account_type_current_liabilities","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart270","270","Odpisy aktualizujace","account.data_account_type_receivable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart300","300","Rozliczenie zakupu","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart302","302","Rozliczenie sprzedazy","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart310","310","Materiały","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart330","330","Towary handlowe","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4000101","400-01-01","Amortyzacja środków trwałych","account.data_account_type_depreciation","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4000201","400-02-01","Amortyzacja WNiP","account.data_account_type_depreciation","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4010101","401-01-01","Zużycie materiałów i energii Materiały eksploatacyjne","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4010102","401-01-02","Zużycie materiałów i energii Paliwo","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4010103","401-01-03","Zużycie materiałów i energii Zużycie mediów","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4010104","401-01-04","Zużycie materiałów i energii Inne","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4020105","402-01-05","Usługi obce Transport zagraniczny i krajowym, poczta","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4020201","402-02-01","Usługi obce Remonty i konserwacja","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4020202","402-02-02","Usługi obce Usługi podwykonawców","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4020203","402-02-03","Usługi obce Usługi pozostałe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4020204","402-02-04","Usługi obce Usługi platform internetowych i łączności","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4020205","402-02-05","Usługi obce Usługi najmu","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4020206","402-02-06","Usługi obce Usługi leasingu, bankowe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4020207","402-02-07","Usługi obce Usługi księgowe, prawne","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart4020208","402-02-08","Usługi obce Usługi IT","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40301","403-01","Podatki i opłaty Podatek od nieruchomości","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40302","403-02","Ubezpieczenia mienia","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40303","403-03","Pozostałe podatki i opłaty","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40304","403-04","Podatki i opłaty PFRON","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40401","404-01","Wynagrodzenia Osobowe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40402","404-02","Wynagrodzenia Bezosobowe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40501","405-01","Ubezpieczenia i świadczenia na rzecz pracowników Składki ZUS - pracodawca","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40502","405-02","Ubezpieczenia i świadczenia na rzecz pracowników Inne świadczenia na rzecz pracowników","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40503","405-03","Ubezpieczenia i świadczenia na rzecz pracowników Szkolenia","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40601","406-01","Pozostałe koszty Podróże służbowe","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40602","406-02","Pozostałe koszty Reklama i Reprezentacja","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart40603","406-03","Pozostałe koszty Oprogramowanie i usługi informatyczne","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart490","490","Rozliczenie kosztów","account.data_account_type_expenses","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart600","600","Wyroby gotowe","account.data_account_type_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart64000","640-00","Rozliczenia międzyokresowe kosztów","account.data_account_type_current_assets","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart64201","642-01","Korekta podatku VAT 150 dni Podatek nalezny","account.data_account_type_current_liabilities","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart65001","650-01","Aktywa z tytułu odroczonego podatku dochodowego","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart70101","701-01","Przychody netto ze sprzedaży wyrobów gotowych (produktów)","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart70201","702-01","Przychody netto ze sprzedaży usług","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart70301","703-01","Koszty sprzedanych wyrobów gotowych (produktów)","account.data_account_type_direct_costs","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart73001","730-01","Przychody netto ze sprzedanych towarów","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart73101","731-01","Wartość sprzedanych towarów w cenie zakupu/nabycia","account.data_account_type_direct_costs","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart74001","740-01","Przychody netto ze sprzedanych materiałów","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart74101","741-01","Wartość sprzedanych materiałów w cenie zakupu/nabycia","account.data_account_type_direct_costs","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart75001","750-01","Przychody z operacji finansowych Odsetki i inne","account.data_account_type_revenue","False","l10n_pl_trilab.pl_trilab_chart_template",""
